image_id,true,pred,prob_akiec,prob_bcc,prob_bkl,prob_df,prob_mel,prob_nv,prob_vasc
ISIC_0027419,2,2,0.030315326854399187,0.0036544770895906116,0.9363637943142393,0.004626666932214294,0.01677513611475871,0.010077616896328159,0.0032685797023773713
ISIC_0025030,2,2,0.01967516675494012,0.012417270860385313,0.7351259272006714,0.009410636865210402,0.16284679602534455,0.03868743282129114,0.009285231904722366
ISIC_0026769,2,1,0.2956888794803139,0.5799641191035146,0.04605514070575848,0.017934729350460983,0.015716984081768703,0.025253763701285476,0.025884371557083057
ISIC_0025661,2,4,0.03685859750033891,0.020385764608548535,0.2709943303029873,0.01259079103797881,0.5408203967252272,0.03151298492358329,0.005121560221385117
ISIC_0031633,2,2,0.036907286068286256,0.0038253614681707537,0.9353894712650774,0.009630326926475065,0.004030778273993296,0.0073452628959349495,0.008486663440578529
ISIC_0027850,2,2,0.029706768140410393,0.007816313493303414,0.5515187221564062,0.0098540692185315,0.32276478623335386,0.029848353609549464,0.004616366501484831
ISIC_0029176,2,2,0.20869579517275005,0.01638544970433282,0.6823572753123255,0.010238406211940177,0.007178210789579728,0.055604859047079375,0.006223053557565179
ISIC_0029068,2,2,0.28646118622046457,0.03534770748685051,0.5811268517656867,0.031833507579313074,0.009394249652382405,0.009855126757894211,0.01245733231211024
ISIC_0025837,2,2,0.011811520305462682,0.006246123597821224,0.765712055185686,0.012148633113206918,0.14370863125787908,0.02936929507408827,0.020365337518403557
ISIC_0025209,2,2,0.038379236248112826,0.020097599899454505,0.5041631334194593,0.010369090654974867,0.3313633574314328,0.03789521005600276,0.012953151004783555
ISIC_0025276,2,4,0.023455309558824515,0.015777544176237637,0.011218210405118561,0.011918533417362225,0.7301124151689907,0.08138811328328896,0.021983527609606306
ISIC_0029396,2,2,0.017633612908879902,0.010663245698039859,0.7300733171839957,0.011512651015473623,0.006382428111647897,0.27790594683782216,0.006976413467744161
ISIC_0025984,2,5,0.0024856297779841377,0.004273353317873823,0.15869605241735976,0.0021617351789333205,0.12056304553324759,0.8648053251115299,0.003027347628506044
ISIC_0025767,2,2,0.019922583645008863,0.01292890259576255,0.9171647920699517,0.010609545942554404,0.005853322030644724,0.04174018784411233,0.007326362222059059
ISIC_0032417,2,2,0.014523694338624523,0.0041998000201025065,0.9568255423667227,0.0016321582847362603,0.004640977553313331,0.027210997592335376,0.003979514130210406
ISIC_0031326,2,2,0.03723653871884421,0.00531433565423602,0.9315709877103386,0.0045474715642813785,0.009933517938007131,0.012157158818433484,0.004794755116330928
ISIC_0025915,2,2,0.058960746146809295,0.005230866399138639,0.5845948537684513,0.0017581741628947584,0.18723421429864073,0.1569735136679905,0.0040414635489747835
ISIC_0031029,2,4,0.0250043359932435,0.009215230353750294,0.18025360511246694,0.002775606383506607,0.5115209477110197,0.22054723475603014,0.010856246687391918
ISIC_0029836,2,2,0.009156743397377902,0.19335726958565255,0.7577735305435229,0.009972022149837527,0.009289691706729062,0.03875855702374175,0.011218514570537222
ISIC_0032129,2,2,0.025705742974079817,0.2056514989898771,0.7283597714837815,0.011190141984749416,0.010258124031857975,0.03670536875290664,0.00939642433742463
ISIC_0032343,2,2,0.05677672162863999,0.004517856152085481,0.7263077944826496,0.018870973496048323,0.14524382926866505,0.012686840516116155,0.0144247122396148
ISIC_0025033,2,5,0.011493477734788057,0.007832563761827758,0.021942449010957626,0.002429540076565773,0.020400927024137764,1.1584774251242105,0.005987968987610908
ISIC_0027310,2,2,0.03727955007203157,0.004357527601380384,0.9347527359992595,0.009791478760431314,0.003714876857407925,0.00880683098687363,0.007296868050495804
ISIC_0032128,2,2,0.022265963710662924,0.0031118281765757684,0.9249479889759983,0.0011795395075060592,0.010217146508082442,0.050842617068303876,0.0026934467070322808
ISIC_0025937,2,2,0.02130474673799202,0.013961871533411899,0.912501344911141,0.010684719540208288,0.007123619254784623,0.04197867970418976,0.00764742340319903
ISIC_0027828,2,5,0.004272324260251189,0.003609507985138006,0.23627577959758816,0.0018089116739745004,0.00992946283714517,0.9287350751811243,0.002614895565882198
ISIC_0029291,2,5,0.005512267075327389,0.007185201077016133,0.02721988470386567,0.0062858171616280555,0.3196174763809608,0.7170343120405847,0.009580929411572181
ISIC_0030698,2,2,0.03265154911348937,0.008604782651015804,0.9318513368011648,0.006626788210865024,0.00554575930604537,0.008863082377020189,0.012244217056245165
ISIC_0025567,2,2,0.019425698325901294,0.013548472398924826,0.9183674071253762,0.010225647187490328,0.006130732859570381,0.04052032699416261,0.007166679886525476
ISIC_0031753,2,2,0.005494017732995196,0.0020693301563952824,0.9439425587111148,0.00594480140421916,0.00785256652675411,0.04174718160357189,0.009436883288544796
ISIC_0026835,2,5,0.010985829093890485,0.35216722269440015,0.012175857036529451,0.007648915280827767,0.01802565770714463,0.7750720715408372,0.005420837016074159
ISIC_0031159,2,2,0.006046142996855537,0.0020308502403203733,0.9368918965667842,0.006246647890034346,0.010579786209068819,0.04371854521998326,0.010725390282487172
ISIC_0031017,2,2,0.021648990783775586,0.004120894360447933,0.7517471397389829,0.0017576514211922309,0.17171055061644633,0.02788104637362464,0.003969241712584209
ISIC_0024981,2,5,0.003413904792652438,0.004549016371588055,0.006096093975494204,0.0004603337618544634,0.020173131051754813,1.2021955460561198,0.001394801189327405
ISIC_0027815,2,2,0.018417665298446777,0.011227774416891038,0.9121072414503428,0.01121498891977162,0.006086542041161643,0.05135032204251144,0.00710972351399433
ISIC_0024324,2,5,0.02001172236812116,0.0004037418360493929,0.0765681763867093,0.0002167174437770493,0.05117479884629574,1.0522247998098768,0.00038792310322749543
ISIC_0029559,2,5,0.0031452086291212517,0.006150736562856915,0.02342635081736869,0.0010232196566203645,0.008180750697937287,1.1963466743450992,0.001175702809668179
ISIC_0030661,2,2,0.005988216052162381,0.00241883539136257,0.945672372250255,0.00833916572980118,0.007339654793291707,0.034128389861106966,0.011175005653440989
ISIC_0027053,2,2,0.024659145207384905,0.003815105213738887,0.9441228304669178,0.0038506770180545195,0.013440142757643117,0.014707764243311147,0.0029038280266412727
ISIC_0028560,2,4,0.03231848047141944,0.0020261178962005673,0.15730967103332574,0.0010991962204115308,0.46828875578742635,0.3229840835592509,0.0020225062311130418
ISIC_0031650,2,2,0.020081418243525585,0.013340616788708551,0.9123460171750245,0.010495202090709626,0.007695224123676729,0.043774332107939046,0.00785435296356958
ISIC_0029161,2,2,0.02100138186417061,0.0035950625384365813,0.9534052593581412,0.0041236626593459495,0.007437649857241606,0.012782597905009924,0.006256412448757162
ISIC_0026273,2,2,0.02468841189461071,0.0097586794867357,0.7281062342015557,0.013786783766877133,0.008035483804781394,0.009123354552494564,0.20391455733192657
ISIC_0025076,2,5,0.007175957522658487,0.00012870092377398787,0.002123101489783939,9.795049979194769e-05,0.017818951786812847,1.2122072525976744,0.00015565277513792378
ISIC_0029687,2,5,0.004414121569530077,0.002556768727376246,0.04154635475355271,0.001384187479761056,0.044645210980057574,1.12343238652327,0.0006510057008648264
ISIC_0025642,2,5,0.0028562928313598094,0.002205664070559399,0.021354530441879998,0.0011178414932993324,0.02079087892778616,1.1857962058748304,0.0008720148319459015
ISIC_0025819,2,2,0.01944442668322886,0.012550278414881717,0.9164593703731124,0.010049091177461666,0.0074418837417121525,0.042039469461412286,0.007367675681807258
ISIC_0032013,2,2,0.01834128418009344,0.012144684988428111,0.9176873512070106,0.009888418850931795,0.007712078687816912,0.042585327724724925,0.007207028059736727
ISIC_0031691,2,2,0.013722832877401784,0.011213156658192135,0.8364310623038597,0.010856136566958345,0.007167636901626302,0.14048031723475365,0.014946615556356447
ISIC_0025419,2,2,0.03470862659365895,0.004664179835214168,0.9167250784089052,0.006514255285632572,0.011589730805358581,0.029789932405530576,0.0051058395853918834
ISIC_0030105,2,5,0.010269411363687335,9.860433157305496e-05,0.003943697431037687,7.531039360576132e-05,0.02319731752340946,1.197790335497755,0.00010430020698348573
ISIC_0025016,2,2,0.026535567907649136,0.012403568366003885,0.8248129935016376,0.01442989460718907,0.014989176054228804,0.11419975541339972,0.018910149973206
ISIC_0029147,2,2,0.25132025907697336,0.020928835011471535,0.577077485400708,0.026249193569623366,0.014716052424168184,0.06819258167288143,0.022317744560800056
ISIC_0029301,2,5,0.012951539705438974,0.00013179394958100723,0.0066737566512118365,9.868138321384683e-05,0.037039374652071744,1.1702779674852943,0.00015377220287926435
ISIC_0026637,2,5,0.0032148980531452676,0.004837884581953917,0.00494138431657385,0.0004926660301150513,0.01994259159278633,1.2037593133712279,0.0014866036911462166
ISIC_0030377,2,2,0.0194105730645322,0.012143681150144428,0.9128175434988598,0.010188306529258279,0.009090919609673273,0.044467399682862896,0.007392908924043371
ISIC_0027960,2,2,0.03108752483246437,0.0027812070130130346,0.8865954741851607,0.001061408603284863,0.024921586816615063,0.06484180624071617,0.0025982217038501643
ISIC_0026955,2,2,0.3066843283888169,0.009387428324972953,0.5677083549531341,0.020853194310477635,0.010099290429175366,0.0354758728336748,0.01512834403581928
ISIC_0028052,2,2,0.02461786927552759,0.0038641604286900333,0.9171935921699764,0.0015457780433604986,0.018931306520292294,0.042075897623184,0.0034621221098037496
ISIC_0025286,2,5,0.007457506247204032,0.006123188532229094,0.11821880723463753,0.0014292587213476822,0.014681156749965375,1.0619160989180574,0.001887671871902513
ISIC_0031468,2,2,0.0076291887698054445,0.002473142177131979,0.923223718552344,0.009895239057994281,0.013418210899363193,0.04038244269516416,0.01763068835287455
ISIC_0030926,2,2,0.03417813280831026,0.005162410431313396,0.9256085234876525,0.004736577796858034,0.01515679971738009,0.01775648736380389,0.003690421086151918
ISIC_0029288,2,2,0.035928853586993714,0.003291289213027426,0.9370959675684236,0.009823584140860608,0.004176780344588972,0.007862689195791311,0.007684944952992505
ISIC_0031008,2,2,0.03000285101859505,0.0028957797290082078,0.9462232494772964,0.007480611613259025,0.004687993232909717,0.008383666577013267,0.007096811634014209
ISIC_0024698,5,5,0.00032999995225581265,8.46654888254419e-05,0.005839959770023193,0.01519478264705184,0.0013409352893106053,1.2212745964619105,0.0019375628026020123
ISIC_0031495,2,2,0.020688351209651294,0.0037494619783865085,0.9574757739137238,0.006872474845858578,0.002706483389309677,0.010849070527274794,0.006859746908938098
ISIC_0026104,2,2,0.0233117518291165,0.004401297903014494,0.9204511365380417,0.0016780181833886592,0.012581117182045198,0.04816511687179189,0.0036353943933244365
ISIC_0025099,2,2,0.02977648498280115,0.005399304558209533,0.9465891553506227,0.006376033339590198,0.005306159606894788,0.004203364540822234,0.008322811299481588
ISIC_0031485,2,2,0.024796130593301168,0.003201396309196884,0.9024507125150748,0.0012123813445256604,0.011339368012283158,0.07324961527538386,0.0027069986867844743
ISIC_0029413,2,4,0.015166108284155082,0.0017944792852275097,0.008262497524664942,0.002139788625152536,0.6461145075376623,0.27245989702164725,0.0022894416833056912
